nation,lat,long
"Gulf of Guinea",0.0,0.0
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"","",""
"North Korea [1945]",40.0,127.0
KP,39.033333,125.75
"Switzerland [1848]",46.833333,8.333333
CH,46.519833,6.6335
CH,46.521111,6.641111
CH,46.518056,6.596944
"International Olympic Committee [1894]",46.518056,6.596944
CH,47.566667,7.6
CH,47.566667,7.6
"Novartis [1996]",47.566667,7.6
US,40.0,-74.5
US,40.664167,-73.938611
"Pfizer [1849]",40.664167,-73.938611
NYMA,40.28,-74.7
US,40.223748,-74.764001
NYMA,40.581601,-74.777851
NYMA,40.508651,-74.860113
NYMA,40.616169,-74.771893
"Merck & Co., Inc. [1891]",40.616169,-74.771893
"United States [1776]",38.883333,-77.016667
US,38.883333,-77.016667
ASTMSA,42.659722,-73.781389
US,43.0,-75.0
CA,46.816667,-71.216667
Capitale-Nationale,46.816667,-71.216667
CA,45.516667,-73.65
"Garda World Security Corporation [1995]",,
"Jean Coutu Group [1969]",,
CA,45.420833,-75.69
"Canada [1867]",45.420833,-75.69
GTA,43.9,-78.85
CA,43.7,-79.4
"Shoppers Drug Mart Corporation [1962]",,
"Torstar [1958]",,
GTA,43.6,-79.65
"Metroland Media Group [1981]",,
US,40.0,-89.0
SMSA,39.783,-89.65
US,41.881944,-87.627778
CMA,41.84,-87.953056
"McDonald's [1940]",41.84,-87.953056
CMA,41.856111,-88.108333
CA,50.7,-86.05
